Sitio;Especie;PARCELA;INVENTARIO;TRATAMIENTO;Nac;Ndc;Ne;Superficie;Dgac;Dgdc;Dge;Doac;Dodc;Hgac;Hgdc;Hge;Hoac;Hodc;ABac;ABdc;ABe;ABT;Vac;Vdc;Ve;VT;Vmac;Vmdc;Vme;Wac;Wdc;We;Wac_b7_b27;Wdc_b7_b27;We_b7_b27;Wac_b2_n;Wdc_b2_n;We_b2_n;WacT;WdcT;WeT;Nn;Wac_s_7;Wdc_s_7;We_s_7;Wac_b2_7;Wdc_b2_7;We_b2_7
Lubia;Pinus pinaster;7;1;A;1277;1277;0;0,083;19,161;19,161;0,000;28,329;28,329;9,350;9,350;0,000;10,831;10,831;36,826;36,826;0,000;36,826;165,448;165,448;0,000;165,448;0,130;0,130;0,000;6278,485;6278,485;0,000;494,715;494,715;0,000;1332,630;1332,630;0,000;8105,830;8105,830;0,000;NA;NA;NA;NA;NA;NA;NA
Lubia;Pinus pinaster;7;2;A;1277;1193;84;0,083;19,971;20,509;9,527;29,244;29,244;10,273;10,236;10,788;11,171;11,171;40,003;39,402;0,601;40,003;191,941;189,005;2,936;191,941;0,150;0,158;0,035;7179,310;7078,238;101,073;569,181;565,571;3,610;1470,786;1453,412;17,374;9219,277;9097,220;122,057;NA;NA;NA;NA;NA;NA;NA
Lubia;Pinus pinaster;7;3;A;1193;1193;0;0,083;21,517;21,517;0,000;31,457;31,457;11,254;11,254;0,000;12,222;12,222;43,370;43,370;0,000;43,971;226,190;226,190;0,000;229,126;0,190;0,190;0,000;8313,189;8313,189;0,000;664,077;664,077;0,000;1628,304;1628,304;0,000;10605,570;10605,570;0,000;NA;NA;NA;NA;NA;NA;NA
Lubia;Pinus pinaster;8;1;E;963;432;531;0,081;21,227;24,923;17,657;30,257;30,257;9,460;10,372;8,719;11,508;11,508;34,079;21,079;12,999;34,079;155,463;101,227;54,237;155,463;0,161;0,234;0,102;5784,278;3753,554;2030,724;498,632;340,898;157,735;1241,212;792,922;448,290;7524,123;4887,374;2636,748;NA;NA;NA;NA;NA;NA;NA
Lubia;Pinus pinaster;8;2;E;432;432;0;0,081;26,135;26,135;0,000;31,371;31,371;11,125;11,125;0,000;12,143;12,143;23,180;23,180;0,000;36,179;118,719;118,719;0,000;172,956;0,275;0,275;0,000;4341,785;4341,785;0,000;394,346;394,346;0,000;884,581;884,581;0,000;5620,712;5620,712;0,000;NA;NA;NA;NA;NA;NA;NA
Lubia;Pinus pinaster;8;3;E;432;432;0;0,081;27,963;27,963;0,000;33,543;33,543;11,810;11,810;0,000;13,100;13,100;26,536;26,536;0,000;39,535;144,072;144,072;0,000;198,308;0,333;0,333;0,000;5216,769;5216,769;0,000;487,271;487,271;0,000;1034,646;1034,646;0,000;6738,686;6738,686;0,000;NA;NA;NA;NA;NA;NA;NA
Lubia;Pinus pinaster;9;1;D;1185;691;494;0,081;19,813;22,204;15,870;28,044;28,044;9,399;9,556;9,178;10,548;10,548;36,539;26,771;9,768;36,539;162,437;120,242;42,196;162,437;0,137;0,174;0,085;6035,632;4488,847;1546,785;485,856;383,172;102,684;1296,067;972,178;323,889;7817,555;5844,197;1973,358;NA;NA;NA;NA;NA;NA;NA
Lubia;Pinus pinaster;9;2;D;691;691;0;0,081;23,551;23,551;0,000;30,271;30,271;10,255;10,255;0,000;11,900;11,900;30,118;30,118;0,000;39,886;143,598;143,598;0,000;185,793;0,208;0,208;0,000;5306,151;5306,151;0,000;461,935;461,935;0,000;1114,998;1114,998;0,000;6883,084;6883,084;0,000;NA;NA;NA;NA;NA;NA;NA
Lubia;Pinus pinaster;9;3;D;691;691;0;0,081;24,987;24,987;0,000;31,863;31,863;11,216;11,216;0,000;12,568;12,568;33,902;33,902;0,000;43,671;174,874;174,874;0,000;217,069;0,253;0,253;0,000;6358,463;6358,463;0,000;557,675;557,675;0,000;1279,853;1279,853;0,000;8195,990;8195,990;0,000;NA;NA;NA;NA;NA;NA;NA
Lubia;Quercus pirenaica;1;1;D;1975;1911;63;0,079;6,600;6,656;4,614;12,075;12,075;6,497;6,643;4,169;8,688;8,688;6,756;6,650;6,756;6,756;71,061;70,234;0,827;71,061;0,036;0,037;0,013;NA;NA;NA;NA;NA;NA;476,394;466,003;10,391;2220,000;2183,775;36,224;0;1214,207;1199,757;14,450;529,399;518,015;11,383
